time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.366815458372758e-08,2.620864938175952e-07,10.00434960890177,0.00024061593475188658,6.283045770127686,0.0,9.869835272943207e-06,2.2909963352497218e-05,0.1449788362537906,0.01101935443010782,-0.007438271779035611,0.0,452.16528539798554,451.5658129975726,449.57731061383834,450.4690371359634
0.12000000000000001,5.902274931982908e-06,1.0041473126808233e-05,10.018805655352926,0.0007411472031790822,6.282233601719707,0.0,0.00025193956979233356,0.00037093546916725385,0.3368517024612966,0.00236333339910864,-0.029957132826257137,0.0,465.7693207868855,464.0052141258287,465.8045738326494,465.12716840025183
0.18,4.6450344670096017e-05,4.737798849453633e-05,10.041113833241466,0.0007272246631968571,6.280345504170189,0.0,0.0012792123326816947,0.000880404437146931,0.406731134893894,-0.006007089638145375,-0.03467553769343546,0.0,427.7209300464105,427.31856602984567,427.5762725614163,426.86269521263085
0.23999999999999996,0.000184673779274524,0.00011268998031773944,10.066894500065825,0.00015955112884036282,6.278015916666485,0.0,0.003533881497893458,0.0012540604835646419,0.4526062844886899,-0.01746318991574077,-0.048784744604338875,0.0,420.2531592391717,419.0277100532041,419.98022091819416,418.98566794636804
0.3,0.0005178924119862677,0.00018741337820353887,10.097605560780242,6.282504104456457,6.274731705424054,0.0,0.007894229169756609,0.0011386212962591344,0.5710414233195767,-0.00787728524942152,-0.07060160563701653,0.0,444.6523133847618,442.8595232866077,441.7444191539446,442.53415659147225
0.36000000000000004,0.0011779838383704604,0.0002405046604859553,10.134430472027775,6.282333372397337,6.2699693976305415,0.0,0.014544983928125756,0.0006005385964208059,0.6564055793877779,0.005685576532441795,-0.10951204811275773,0.0,434.11037888320163,430.8274011543967,432.1488071883129,433.2904251090139
0.4200000000000001,0.002320146150115233,0.0002618349706950638,10.17482615226596,6.282707212964869,6.2634009845048695,0.0,0.024132420334213936,0.00014347028536536318,0.6900876834834971,0.007299211719324369,-0.10939673922550068,0.0,416.40725092325494,416.40587316747354,415.13620494897,415.2776521322743
0.48000000000000015,0.004219878531517677,0.00026275637383826146,10.22011687811139,0.0005937261597512844,6.25736017547057,0.0,0.03985616175337297,-2.6424799729775617e-05,0.8195040250998898,0.03334049435302378,-0.08732038571890437,0.0,445.44340998202216,447.2358385773522,445.9934219168492,448.11497408380797
0.5400000000000001,0.007106979626589511,0.00027953986757788706,10.270122978811795,0.003086926975333526,6.251921025476335,0.0,0.05686653373098982,0.0007943623887943801,0.8473314301532721,0.054310679373642104,-0.09831961423665765,0.0,414.80931770355863,413.8347828679972,413.0486852324882,414.8946941356836
0.6000000000000002,0.011223692490608748,0.0004074995767068014,10.32507781372607,0.006005681400861107,6.245996671473195,0.0,0.08098892018430254,0.0038062202917048885,0.984364671685343,0.03382300086272687,-0.0995912804593627,0.0,449.7616675297873,449.6504184478913,449.8630371537808,448.2026074920864
0.6600000000000003,0.016824874244724897,0.0007593752986291338,10.385845248088389,0.007917743793979248,6.239667952779543,0.0,0.10629933058709669,0.008111202561937605,1.0411407684648446,0.027639261671420997,-0.12109409605461008,0.0,424.6018432609501,422.7426283813004,424.85351975186563,424.3234796065635
0.7200000000000003,0.024186039914462373,0.001426423307546947,10.452566952773186,0.009734119276695985,6.232679191581525,0.0,0.13983562631750207,0.014310698183334058,1.1827408746711303,0.03507822952085126,-0.10856578661573575,0.0,451.1765973415308,452.1748382760075,450.535776510402,451.13704237660255
0.7800000000000004,0.033749326530807595,0.002514650562124374,10.52855324158534,0.011807400437854554,6.226551725237863,0.0,0.17963508144807747,0.022195130394206487,1.3499099942949,0.03348671819628161,-0.09163874309539294,0.0,459.0220579989354,460.35440643818276,459.27675196444414,459.1509798440951
0.8400000000000004,0.04583807048420446,0.004123004406929908,10.61460389239475,0.013809887536556431,6.220955773332401,0.0,0.22393123450248156,0.03163845708561626,1.5181928663827153,0.03315001958693637,-0.0967339463927326,0.0,460.7163909573744,460.3063591138414,460.0463948429636,460.02013665347283
0.9000000000000005,0.06076517846760764,0.0063549118521902745,10.711571380258167,0.0154943700218233,6.21510049954942,0.0,0.2742967879126625,0.042970245219401716,1.7137310451529566,0.015258179701861871,-0.09935154378452749,0.0,468.7374473900317,468.52637586967535,470.0377120384394,468.6493677755391
0.9600000000000005,0.07870942897622048,0.009269361551452313,10.81820431449806,0.016056792789362895,6.209416153644646,0.0,0.3244443465258938,0.05425652934733841,1.8404522695459227,-0.0062508360221955415,-0.08682759557483744,0.0,448.434288680194,449.44278675687605,449.4846634968306,447.73820099714135
1.0200000000000005,0.09969154560301316,0.012848537647745384,10.931231387770396,0.015425024275016241,6.204171800133107,0.0,0.3754682232185711,0.06499763354253882,1.9269273368367656,-0.020866927687776808,-0.08858748734621053,0.0,437.0266537455633,436.87347093792664,436.90923006729713,435.6891069581129
1.0800000000000005,0.1240572843494783,0.017100404887670305,11.052138702275272,0.015889488337305302,6.198361210488589,0.0,0.43731251078138345,0.07671247338451431,2.1029467752192303,0.0370267534530138,-0.12348398377010811,0.0,465.9711617880034,463.22699486398733,462.6764990120973,467.211980810519
1.1400000000000006,0.15216103468571474,0.022055333455694638,11.182271241068914,0.01784014721075966,6.191001343190512,0.0,0.5002402308124815,0.0886709110579153,2.234468010197135,0.02146276335673884,-0.12107535033543135,0.0,452.4025586483117,452.5831135162933,452.18277142371255,450.9276592519146
